Loss weights | lam_time=100, lam_self=0, lam_psd=100
cuda
train size: 2592
validation size: 864
epoch 1  train 11725.687651  val 9434.715386
epoch 2  train 4826.349664  val 5049.231662
epoch 3  train 3946.556297  val 3728.040283
epoch 4  train 3654.991898  val 3595.759531
epoch 5  train 3557.322272  val 3518.468605
epoch 6  train 3451.480891  val 3371.038502
epoch 7  train 3322.135417  val 3260.105767
epoch 8  train 3213.941681  val 3165.806604
epoch 9  train 3145.844696  val 3122.855749
epoch 10  train 3083.535575  val 3057.348886
epoch 11  train 3007.235442  val 2990.431894
epoch 12  train 2896.426592  val 2844.065647
epoch 13  train 2747.492308  val 2681.953451
epoch 14  train 2647.968985  val 2600.700150
epoch 15  train 2612.020514  val 2718.167480
epoch 16  train 2561.365322  val 2523.308747
epoch 17  train 2503.048307  val 2454.471580
epoch 18  train 2430.237483  val 2390.545709
epoch 19  train 2354.019118  val 2342.743978
epoch 20  train 2264.325913  val 2247.310203
epoch 21  train 2190.439254  val 2174.895571
epoch 22  train 2121.437530  val 2156.883690
epoch 23  train 2155.907061  val 2132.588885
epoch 24  train 2065.215462  val 2117.259784
epoch 25  train 2016.193359  val 2127.620669
epoch 26  train 2010.377381  val 2080.380208
epoch 27  train 1992.008803  val 2023.986604
epoch 28  train 1986.767650  val 2020.270585
epoch 29  train 1969.263485  val 2007.263694
epoch 30  train 1948.749890  val 1966.407887
epoch 31  train 1940.823718  val 1957.411639
epoch 32  train 1914.991659  val 1918.680813
epoch 33  train 1888.109922  val 1902.193373
epoch 34  train 1846.699605  val 1880.783529
epoch 35  train 1814.613162  val 1892.083080
epoch 36  train 1794.100523  val 1859.901647
epoch 37  train 1783.156167  val 1805.441551
epoch 38  train 1773.643764  val 1779.318554
epoch 39  train 1730.028702  val 1761.099252
epoch 40  train 1711.397933  val 1754.680605
epoch 41  train 1682.912782  val 1731.093890
epoch 42  train 1664.250549  val 1704.454454
epoch 43  train 1679.192161  val 1731.621695
epoch 44  train 1670.199033  val 1679.947130
epoch 45  train 1628.684982  val 1710.897140
epoch 46  train 1623.575227  val 1637.586824
epoch 47  train 1590.247950  val 1655.171021
epoch 48  train 1575.649364  val 1633.602589
epoch 49  train 1564.747025  val 1601.547065
epoch 50  train 1554.395591  val 1568.438047
epoch 51  train 1522.909844  val 1577.428173
epoch 52  train 1528.162072  val 1549.162946
epoch 53  train 1499.941640  val 1521.911743
epoch 54  train 1492.719381  val 1593.704884
epoch 55  train 1518.176557  val 1537.999950
epoch 56  train 1490.267935  val 1530.801351
epoch 57  train 1469.318928  val 1508.478127
epoch 58  train 1464.757782  val 1505.711037
epoch 59  train 1443.098695  val 1471.376772
epoch 60  train 1433.072793  val 1467.089134
epoch 61  train 1447.169416  val 1521.237300
epoch 62  train 1430.833181  val 1468.193468
epoch 63  train 1434.469972  val 1463.774509
epoch 64  train 1409.349533  val 1457.654053
epoch 65  train 1402.478059  val 1428.442211
epoch 66  train 1384.829695  val 1415.670094
epoch 67  train 1379.274860  val 1416.969722
epoch 68  train 1372.743776  val 1424.039772
epoch 69  train 1385.830782  val 1427.961810
epoch 70  train 1374.299044  val 1412.417508
epoch 71  train 1356.006703  val 1383.663036
epoch 72  train 1349.920632  val 1376.632419
epoch 73  train 1354.749632  val 1379.573807
epoch 74  train 1349.438724  val 1406.554665
epoch 75  train 1335.121660  val 1373.546893
epoch 76  train 1319.285100  val 1347.460499
epoch 77  train 1313.767941  val 1352.548552
epoch 78  train 1299.367084  val 1333.213171
epoch 79  train 1298.103270  val 1334.670216
epoch 80  train 1285.097203  val 1328.639549
epoch 81  train 1288.354726  val 1329.554394
epoch 82  train 1310.864446  val 1393.961806
epoch 83  train 1313.674612  val 1358.241753
epoch 84  train 1301.120999  val 1352.522619
epoch 85  train 1278.946966  val 1341.527977
epoch 86  train 1261.763722  val 1310.752075
epoch 87  train 1251.284367  val 1290.698522
epoch 88  train 1242.714652  val 1285.724442
epoch 89  train 1249.548210  val 1311.266059
epoch 90  train 1254.379389  val 1318.213017
epoch 91  train 1230.946596  val 1275.200182
epoch 92  train 1257.425638  val 1321.645738
epoch 93  train 1229.176633  val 1287.206837
epoch 94  train 1237.712716  val 1276.445814
epoch 95  train 1222.936331  val 1279.268315
epoch 96  train 1220.132555  val 1266.934873
epoch 97  train 1203.951191  val 1249.233362
epoch 98  train 1199.526382  val 1244.630466
epoch 99  train 1199.621718  val 1254.864479
epoch 100  train 1211.080601  val 1244.047856
epoch 101  train 1194.253730  val 1270.358290
epoch 102  train 1180.097698  val 1233.138704
epoch 103  train 1193.610739  val 1237.540301
epoch 104  train 1205.228020  val 1263.922951
epoch 105  train 1174.215334  val 1237.407701
epoch 106  train 1192.050504  val 1259.027412
epoch 107  train 1166.168707  val 1265.737391
epoch 108  train 1174.999780  val 1279.592091
epoch 109  train 1166.987238  val 1291.464830
epoch 110  train 1222.020945  val 1337.225649
epoch 111  train 1220.846675  val 1312.801550
epoch 112  train 1216.164594  val 1307.977598
epoch 113  train 1210.961118  val 1235.348565
epoch 114  train 1162.535795  val 1195.893265
epoch 115  train 1151.161965  val 1194.753861
epoch 116  train 1139.219728  val 1208.350780
epoch 117  train 1137.089824  val 1182.505353
epoch 118  train 1128.921848  val 1184.694300
epoch 119  train 1125.883836  val 1190.358462
epoch 120  train 1124.911139  val 1185.123657
epoch 121  train 1136.704962  val 1180.931415
epoch 122  train 1137.057290  val 1228.771304
epoch 123  train 1122.166741  val 1180.871510
epoch 124  train 1110.300055  val 1184.383030
epoch 125  train 1129.252179  val 1202.100297
epoch 126  train 1124.715554  val 1193.925673
epoch 127  train 1135.829111  val 1188.956263
epoch 128  train 1119.510670  val 1164.509562
epoch 129  train 1098.373047  val 1157.753504
epoch 130  train 1091.878627  val 1164.241414
epoch 131  train 1104.001029  val 1195.950060
epoch 132  train 1106.732970  val 1185.727706
epoch 133  train 1085.931329  val 1166.878350
epoch 134  train 1081.141562  val 1146.165984
epoch 135  train 1084.547395  val 1152.166088
epoch 136  train 1090.896685  val 1194.631999
epoch 137  train 1087.268820  val 1163.170898
epoch 138  train 1095.310551  val 1174.202813
epoch 139  train 1087.283722  val 1152.430397
epoch 140  train 1080.463729  val 1153.708166
epoch 141  train 1063.143220  val 1141.306021
epoch 142  train 1063.840492  val 1140.213270
epoch 143  train 1072.653138  val 1132.652633
epoch 144  train 1064.877158  val 1135.029735
epoch 145  train 1074.953913  val 1127.616188
epoch 146  train 1053.216462  val 1136.191687
epoch 147  train 1048.772083  val 1124.711091
epoch 148  train 1041.442553  val 1132.478918
epoch 149  train 1057.139026  val 1173.482151
epoch 150  train 1057.811551  val 1126.657774
epoch 151  train 1064.124099  val 1121.998739
epoch 152  train 1057.860911  val 1141.285586
epoch 153  train 1070.784624  val 1136.080467
epoch 154  train 1029.772940  val 1118.228082
epoch 155  train 1029.404547  val 1108.247197
epoch 156  train 1029.322219  val 1105.330603
epoch 157  train 1025.175406  val 1105.478728
epoch 158  train 1031.630772  val 1127.596083
epoch 159  train 1018.814325  val 1095.340630
epoch 160  train 1005.895603  val 1109.247030
epoch 161  train 1016.115129  val 1114.005235
epoch 162  train 1013.021533  val 1097.060149
epoch 163  train 1013.582402  val 1107.328387
epoch 164  train 1004.165970  val 1101.931907
epoch 165  train 1019.033343  val 1124.537100
epoch 166  train 1009.334183  val 1091.489280
epoch 167  train 1011.609673  val 1126.429118
epoch 168  train 1017.495315  val 1096.464193
epoch 169  train 1004.158982  val 1099.071619
epoch 170  train 1005.006672  val 1108.984465
epoch 171  train 984.612321  val 1077.854144
epoch 172  train 981.502199  val 1096.837014
epoch 173  train 993.429385  val 1075.872043
epoch 174  train 986.729931  val 1086.387976
epoch 175  train 995.315024  val 1093.153488
epoch 176  train 997.539618  val 1076.066026
epoch 177  train 984.447683  val 1081.580765
epoch 178  train 971.628370  val 1071.902927
epoch 179  train 982.990503  val 1077.304999
epoch 180  train 963.452246  val 1091.089853
epoch 181  train 976.767745  val 1053.826746
epoch 182  train 961.803905  val 1052.108661
epoch 183  train 965.259830  val 1070.883816
epoch 184  train 973.509859  val 1123.699476
epoch 185  train 1002.250954  val 1190.507600
epoch 186  train 992.004963  val 1128.872531
epoch 187  train 978.723369  val 1106.153614
epoch 188  train 962.163069  val 1067.627374
epoch 189  train 949.914115  val 1047.067889
epoch 190  train 956.205795  val 1082.195751
epoch 191  train 961.758997  val 1092.306953
epoch 192  train 990.153165  val 1080.559010
epoch 193  train 957.053566  val 1053.367409
epoch 194  train 944.159852  val 1068.516656
epoch 195  train 933.968521  val 1047.580137
epoch 196  train 937.508371  val 1038.221616
epoch 197  train 929.071937  val 1032.208415
epoch 198  train 939.599475  val 1034.075349
epoch 199  train 934.314668  val 1051.800478
epoch 200  train 937.216364  val 1076.793656
epoch 201  train 932.237751  val 1047.796382
epoch 202  train 929.701342  val 1041.200363
epoch 203  train 931.706131  val 1025.058286
epoch 204  train 911.670192  val 1034.590662
epoch 205  train 929.706605  val 1043.164854
epoch 206  train 916.627434  val 1033.116333
epoch 207  train 922.740159  val 1074.378427
epoch 208  train 940.107114  val 1100.166784
epoch 209  train 923.146742  val 1050.160423
epoch 210  train 905.098836  val 1027.080128
epoch 211  train 913.714844  val 1056.701109
epoch 212  train 922.847068  val 1028.044248
epoch 213  train 904.278555  val 1030.625791
epoch 214  train 900.645405  val 1026.914365
epoch 215  train 901.766903  val 1032.068079
epoch 216  train 910.668857  val 1032.982512
epoch 217  train 899.455471  val 1031.982386
epoch 218  train 905.420714  val 1033.064426
epoch 219  train 900.649729  val 1015.400684
epoch 220  train 889.625836  val 1021.034912
epoch 221  train 883.897315  val 1020.982354
epoch 222  train 884.029612  val 1006.508391
epoch 223  train 884.374304  val 1033.141253
epoch 224  train 896.308912  val 1010.458333
epoch 225  train 884.606533  val 1005.227415
epoch 226  train 891.030896  val 1015.948428
epoch 227  train 884.459531  val 1033.884874
epoch 228  train 880.923779  val 1009.086435
epoch 229  train 872.337772  val 1005.386434
epoch 230  train 875.605190  val 997.912862
epoch 231  train 872.623571  val 1018.997649
epoch 232  train 877.615267  val 1002.987852
epoch 233  train 862.125289  val 1000.536237
epoch 234  train 861.908239  val 1007.386240
epoch 235  train 886.470593  val 1030.839903
epoch 236  train 869.141438  val 999.833663
epoch 237  train 882.690359  val 995.932210
epoch 238  train 863.206585  val 1016.470011
epoch 239  train 869.581293  val 1013.245506
epoch 240  train 880.999891  val 1012.085277
epoch 241  train 881.995302  val 1028.751379
epoch 242  train 857.681702  val 989.888303
epoch 243  train 860.800469  val 990.697345
epoch 244  train 869.366396  val 1020.202311
epoch 245  train 861.825924  val 996.216756
epoch 246  train 846.781844  val 987.182796
epoch 247  train 845.137671  val 987.881795
epoch 248  train 851.500875  val 1022.787539
epoch 249  train 847.911385  val 989.632284
epoch 250  train 840.865266  val 992.542483
epoch 251  train 847.176413  val 976.028282
epoch 252  train 839.481048  val 986.172976
epoch 253  train 832.493310  val 971.292078
epoch 254  train 836.219320  val 1000.835558
epoch 255  train 858.257222  val 991.893057
epoch 256  train 841.935663  val 998.029021
epoch 257  train 843.151119  val 983.435120
epoch 258  train 842.662304  val 990.408235
epoch 259  train 845.492634  val 1002.168100
epoch 260  train 860.872170  val 1044.098185
epoch 261  train 841.682735  val 998.443952
epoch 262  train 828.789573  val 976.557561
epoch 263  train 827.144474  val 998.452677
epoch 264  train 844.138863  val 1021.088908
epoch 265  train 831.384525  val 987.356432
epoch 266  train 831.338231  val 992.363073
epoch 267  train 825.467602  val 988.648720
epoch 268  train 823.264425  val 987.854153
epoch 269  train 827.938366  val 972.072320
epoch 270  train 819.315920  val 972.657340
epoch 271  train 809.666956  val 971.292851
epoch 272  train 820.002034  val 984.963053
epoch 273  train 828.761533  val 993.368338
epoch 274  train 816.671305  val 981.988505
epoch 275  train 822.856468  val 982.575012
epoch 276  train 822.529220  val 980.270264
epoch 277  train 822.794151  val 995.947132
epoch 278  train 850.329769  val 1019.648144
epoch 279  train 821.347412  val 979.675887
epoch 280  train 816.926490  val 975.512840
epoch 281  train 803.513563  val 988.889228
epoch 282  train 808.490726  val 982.886000
epoch 283  train 807.783107  val 981.644850
epoch 284  train 815.802183  val 981.824488
epoch 285  train 806.088641  val 967.265709
epoch 286  train 810.901935  val 973.028049
epoch 287  train 798.485248  val 956.692557
epoch 288  train 798.767482  val 997.987752
epoch 289  train 810.581967  val 992.166590
epoch 290  train 826.425853  val 982.446452
epoch 291  train 811.705216  val 991.560823
epoch 292  train 810.240482  val 968.628698
epoch 293  train 801.880856  val 968.671201
epoch 294  train 801.463857  val 970.999193
epoch 295  train 819.318014  val 1005.875267
epoch 296  train 809.058442  val 997.519597
epoch 297  train 836.490631  val 1059.395440
epoch 298  train 813.108668  val 973.067433
epoch 299  train 802.622051  val 970.366423
epoch 300  train 799.754953  val 964.462461
epoch 301  train 796.244446  val 961.853244
epoch 302  train 790.022576  val 960.997305
epoch 303  train 784.762383  val 952.246584
epoch 304  train 794.282849  val 959.245974
epoch 305  train 794.381783  val 959.729092
epoch 306  train 795.044046  val 961.322277
epoch 307  train 785.370312  val 955.313049
epoch 308  train 780.335144  val 963.896771
epoch 309  train 793.617586  val 955.311266
epoch 310  train 782.264231  val 951.827194
epoch 311  train 776.895696  val 960.170853
epoch 312  train 773.864278  val 946.924536
epoch 313  train 773.464796  val 949.551733
epoch 314  train 777.178844  val 952.062265
epoch 315  train 780.716101  val 948.991159
epoch 316  train 780.766181  val 949.008097
epoch 317  train 772.557706  val 949.365804
epoch 318  train 778.496303  val 973.811928
epoch 319  train 806.762695  val 998.097417
epoch 320  train 785.199712  val 960.460354
epoch 321  train 781.425655  val 972.271609
epoch 322  train 777.768636  val 970.752593
epoch 323  train 779.404864  val 956.498990
epoch 324  train 778.530030  val 955.654857
epoch 325  train 767.758068  val 952.431478
epoch 326  train 769.469814  val 955.957375
epoch 327  train 777.976340  val 974.947842
epoch 328  train 783.339856  val 966.324854
epoch 329  train 772.416153  val 956.960239
epoch 330  train 772.145600  val 964.868774
epoch 331  train 767.003640  val 944.167379
epoch 332  train 760.224916  val 954.069671
epoch 333  train 767.600879  val 968.529984
epoch 334  train 781.135486  val 973.762499
epoch 335  train 769.942166  val 962.807613
epoch 336  train 770.133634  val 948.931910
epoch 337  train 761.721384  val 951.766746
epoch 338  train 766.281000  val 958.450586
epoch 339  train 772.847090  val 949.194214
epoch 340  train 758.703884  val 941.513186
epoch 341  train 752.852440  val 937.102675
epoch 342  train 756.919716  val 937.676586
epoch 343  train 752.356279  val 955.321933
epoch 344  train 772.833281  val 958.148573
epoch 345  train 762.658817  val 954.235026
epoch 346  train 758.015749  val 942.405221
epoch 347  train 747.599283  val 939.324133
epoch 348  train 752.876227  val 946.549866
epoch 349  train 745.408877  val 943.308989
epoch 350  train 749.079357  val 943.297289
epoch 351  train 751.418564  val 944.369170
epoch 352  train 746.919448  val 961.216259
epoch 353  train 763.855007  val 947.261832
epoch 354  train 749.918648  val 949.538558
epoch 355  train 757.359603  val 972.606640
epoch 356  train 746.757547  val 939.870818
epoch 357  train 741.488791  val 942.397016
epoch 358  train 741.097791  val 941.949978
epoch 359  train 747.350990  val 940.438015
epoch 360  train 743.826806  val 953.149265
epoch 361  train 750.737540  val 955.596594
epoch 362  train 746.806297  val 950.542804
epoch 363  train 744.127668  val 939.850511
epoch 364  train 742.422660  val 946.536992
epoch 365  train 733.392614  val 944.205297
epoch 366  train 744.947010  val 949.108891
epoch 367  train 757.413169  val 962.324363
epoch 368  train 752.375273  val 955.410889
epoch 369  train 741.375454  val 937.021674
epoch 370  train 736.207681  val 940.376171
epoch 371  train 748.514899  val 966.986706
epoch 372  train 750.155346  val 953.271057
epoch 373  train 743.388540  val 955.803806
epoch 374  train 732.678388  val 938.837002
epoch 375  train 730.415719  val 938.804620
epoch 376  train 731.478213  val 949.160407
epoch 377  train 734.353972  val 944.479883
epoch 378  train 741.220077  val 961.416025
epoch 379  train 740.718026  val 958.643611
epoch 380  train 738.012076  val 941.812362
epoch 381  train 729.314090  val 936.645386
epoch 382  train 726.112189  val 952.377317
