Loss weights | lam_time=100, lam_self=0, lam_psd=0
cuda
train size: 2592
validation size: 864
epoch 1  train 78.516231  val 96.166620
epoch 2  train 36.200223  val 51.643772
epoch 3  train 26.424848  val 22.985365
epoch 4  train 21.118603  val 20.414306
epoch 5  train 17.810425  val 17.745572
epoch 6  train 15.671891  val 16.445880
epoch 7  train 14.214916  val 14.105697
epoch 8  train 12.925301  val 13.066696
epoch 9  train 12.012584  val 12.539762
epoch 10  train 11.254330  val 11.416794
epoch 11  train 10.573377  val 11.621390
epoch 12  train 10.125499  val 11.110259
epoch 13  train 9.854683  val 9.912161
epoch 14  train 9.215272  val 9.462360
epoch 15  train 8.750410  val 9.402989
epoch 16  train 8.545595  val 8.938754
epoch 17  train 8.264213  val 8.256510
epoch 18  train 7.829548  val 7.967279
epoch 19  train 7.611521  val 7.633821
epoch 20  train 7.359943  val 7.476572
epoch 21  train 7.197436  val 7.557012
epoch 22  train 7.072362  val 7.407348
epoch 23  train 6.892302  val 6.917651
epoch 24  train 6.680723  val 7.246490
epoch 25  train 6.746937  val 6.834359
epoch 26  train 6.592777  val 6.907545
epoch 27  train 6.517919  val 6.619125
epoch 28  train 6.329307  val 6.499211
epoch 29  train 6.183048  val 6.319185
epoch 30  train 6.034545  val 6.239465
epoch 31  train 6.000081  val 6.028855
epoch 32  train 5.814793  val 5.958094
epoch 33  train 5.801333  val 5.941120
epoch 34  train 5.701248  val 5.740840
epoch 35  train 5.575086  val 5.631734
epoch 36  train 5.438392  val 5.537293
epoch 37  train 5.398186  val 5.540723
epoch 38  train 5.347437  val 5.562482
epoch 39  train 5.295078  val 5.602919
epoch 40  train 5.272032  val 5.397841
epoch 41  train 5.164464  val 5.581007
epoch 42  train 5.272787  val 5.814138
epoch 43  train 5.428569  val 5.524017
epoch 44  train 5.175001  val 5.276354
epoch 45  train 5.093209  val 5.210349
epoch 46  train 4.943836  val 5.051966
epoch 47  train 4.863772  val 5.677321
epoch 48  train 5.104315  val 4.961644
epoch 49  train 4.929116  val 5.197150
epoch 50  train 4.877390  val 4.977719
epoch 51  train 4.745642  val 5.083345
epoch 52  train 4.698672  val 4.946576
epoch 53  train 4.717550  val 4.894733
epoch 54  train 4.638530  val 4.963967
epoch 55  train 4.611458  val 4.796428
epoch 56  train 4.551290  val 4.667229
epoch 57  train 4.543101  val 4.651894
epoch 58  train 4.470971  val 4.681930
epoch 59  train 4.501938  val 4.561674
epoch 60  train 4.452142  val 4.773779
epoch 61  train 4.465319  val 4.611145
epoch 62  train 4.461747  val 4.763862
epoch 63  train 4.500286  val 4.672606
epoch 64  train 4.428447  val 4.468443
epoch 65  train 4.294938  val 4.543175
epoch 66  train 4.290042  val 4.397062
epoch 67  train 4.189936  val 4.414175
epoch 68  train 4.206143  val 4.308556
epoch 69  train 4.128345  val 4.612335
epoch 70  train 4.233674  val 4.423499
epoch 71  train 4.171458  val 4.589937
epoch 72  train 4.272057  val 4.219636
epoch 73  train 4.059844  val 4.123515
epoch 74  train 3.998769  val 4.349914
epoch 75  train 4.007189  val 4.237128
epoch 76  train 3.958695  val 4.154524
epoch 77  train 3.931124  val 4.180732
epoch 78  train 3.922713  val 4.006116
epoch 79  train 3.846210  val 4.011304
epoch 80  train 3.906641  val 4.460466
epoch 81  train 4.016449  val 4.148337
epoch 82  train 3.863818  val 4.024444
epoch 83  train 3.808248  val 3.885432
epoch 84  train 3.720691  val 3.843038
epoch 85  train 3.641622  val 3.776335
epoch 86  train 3.607562  val 3.796804
epoch 87  train 3.656659  val 4.393427
epoch 88  train 3.753437  val 3.890088
epoch 89  train 3.616829  val 3.668448
epoch 90  train 3.467991  val 3.505086
epoch 91  train 3.406537  val 3.706417
epoch 92  train 3.449148  val 3.698669
epoch 93  train 3.453690  val 3.651030
epoch 94  train 3.405270  val 3.587357
epoch 95  train 3.353620  val 3.371681
epoch 96  train 3.359641  val 3.739350
epoch 97  train 3.375398  val 3.799555
epoch 98  train 3.372614  val 3.476296
epoch 99  train 3.226697  val 3.336692
epoch 100  train 3.207359  val 3.275177
epoch 101  train 3.148755  val 3.221601
epoch 102  train 3.043308  val 3.048019
epoch 103  train 2.988307  val 3.257568
epoch 104  train 3.038672  val 3.152277
epoch 105  train 2.990514  val 3.046713
epoch 106  train 3.023349  val 3.230568
epoch 107  train 3.068875  val 3.484120
epoch 108  train 3.098738  val 3.210039
epoch 109  train 2.965230  val 3.123459
epoch 110  train 3.005594  val 3.159134
epoch 111  train 2.923859  val 2.926544
epoch 112  train 2.846337  val 2.962303
epoch 113  train 2.819309  val 2.932361
epoch 114  train 2.795354  val 3.125102
epoch 115  train 2.838537  val 3.262606
epoch 116  train 2.974925  val 3.122385
epoch 117  train 2.889395  val 2.936325
epoch 118  train 2.797598  val 2.903567
epoch 119  train 2.759629  val 2.793249
epoch 120  train 2.715468  val 2.938146
epoch 121  train 2.706420  val 3.030231
epoch 122  train 2.759233  val 3.175199
epoch 123  train 2.839346  val 2.930896
epoch 124  train 2.749683  val 2.821887
epoch 125  train 2.655821  val 2.756117
epoch 126  train 2.600638  val 2.762661
epoch 127  train 2.653519  val 2.783379
epoch 128  train 2.663992  val 2.897727
epoch 129  train 2.647621  val 2.733849
epoch 130  train 2.650016  val 2.769874
epoch 131  train 2.592559  val 2.679709
epoch 132  train 2.502971  val 2.631474
epoch 133  train 2.490669  val 2.949461
epoch 134  train 2.593338  val 2.639296
epoch 135  train 2.546327  val 2.854696
epoch 136  train 2.553202  val 2.573106
epoch 137  train 2.475943  val 2.667082
epoch 138  train 2.541686  val 2.808277
epoch 139  train 2.494275  val 2.916061
epoch 140  train 2.559706  val 2.575360
epoch 141  train 2.437140  val 2.737584
epoch 142  train 2.551745  val 2.715654
epoch 143  train 2.543881  val 2.974963
epoch 144  train 2.612447  val 2.694578
epoch 145  train 2.448732  val 2.689167
