Loss weights | lam_time=100, lam_self=0, lam_psd=100
cuda
train size: 2592
validation size: 864
epoch 1  train 11617.428970  val 10816.856481
epoch 2  train 4661.096185  val 4931.737829
epoch 3  train 3907.373116  val 3696.757541
epoch 4  train 3652.349646  val 3636.018229
epoch 5  train 3580.111988  val 3518.445927
epoch 6  train 3463.496537  val 3391.914976
epoch 7  train 3304.892886  val 3226.599609
epoch 8  train 3153.411558  val 3103.557246
epoch 9  train 3012.102418  val 2868.933142
epoch 10  train 2810.111455  val 2843.530075
epoch 11  train 2747.268769  val 2756.235397
epoch 12  train 2702.310924  val 2765.894540
epoch 13  train 2631.286498  val 2586.753111
epoch 14  train 2535.859960  val 2485.543385
epoch 15  train 2455.811849  val 2422.545519
epoch 16  train 2377.919277  val 2354.820846
epoch 17  train 2306.787366  val 2314.061478
epoch 18  train 2259.983429  val 2274.536296
epoch 19  train 2224.103871  val 2345.249937
epoch 20  train 2185.646653  val 2198.808820
epoch 21  train 2133.374801  val 2137.251980
epoch 22  train 2092.403967  val 2169.349492
epoch 23  train 2090.636315  val 2204.030436
epoch 24  train 2114.386666  val 2163.307237
epoch 25  train 2038.091110  val 2184.936243
epoch 26  train 2004.579304  val 2185.677544
epoch 27  train 1970.833671  val 1984.391389
epoch 28  train 1947.964086  val 1961.231798
epoch 29  train 1910.828086  val 1940.962850
epoch 30  train 1888.005769  val 1937.250642
epoch 31  train 1865.073256  val 1931.452831
epoch 32  train 1838.481234  val 1903.175591
epoch 33  train 1823.462662  val 1847.943581
epoch 34  train 1786.403017  val 1813.143817
epoch 35  train 1760.488818  val 1767.940403
epoch 36  train 1714.492059  val 1734.482377
epoch 37  train 1697.562652  val 1709.651304
epoch 38  train 1664.011699  val 1702.571750
epoch 39  train 1644.842581  val 1672.159709
epoch 40  train 1641.153926  val 1665.625710
epoch 41  train 1607.453624  val 1640.275739
epoch 42  train 1574.011274  val 1600.420071
epoch 43  train 1556.887310  val 1579.813065
epoch 44  train 1554.562057  val 1598.430094
epoch 45  train 1531.790844  val 1579.021294
epoch 46  train 1550.743012  val 1560.254892
epoch 47  train 1514.068970  val 1545.962967
epoch 48  train 1499.360781  val 1518.518704
epoch 49  train 1469.300953  val 1507.514346
epoch 50  train 1472.730377  val 1508.119606
epoch 51  train 1461.124653  val 1538.455169
epoch 52  train 1472.583900  val 1597.017180
epoch 53  train 1481.286045  val 1529.400305
epoch 54  train 1464.163110  val 1486.034722
epoch 55  train 1453.166160  val 1470.060212
epoch 56  train 1427.050304  val 1483.253364
epoch 57  train 1409.539439  val 1439.710214
epoch 58  train 1411.253722  val 1449.980889
epoch 59  train 1386.042007  val 1426.514960
epoch 60  train 1366.411009  val 1419.626289
epoch 61  train 1353.599510  val 1420.474288
epoch 62  train 1374.326006  val 1419.522257
epoch 63  train 1369.065333  val 1380.067858
epoch 64  train 1353.721910  val 1385.062916
epoch 65  train 1357.585660  val 1374.410107
epoch 66  train 1342.062321  val 1386.583772
epoch 67  train 1334.644917  val 1372.422928
epoch 68  train 1302.384540  val 1345.042639
epoch 69  train 1301.492275  val 1359.089835
epoch 70  train 1309.126081  val 1366.173109
epoch 71  train 1346.317413  val 1364.430773
epoch 72  train 1305.373852  val 1341.802762
epoch 73  train 1289.224013  val 1331.540948
epoch 74  train 1280.759119  val 1337.051685
epoch 75  train 1298.787191  val 1338.862192
epoch 76  train 1297.876359  val 1366.173900
epoch 77  train 1298.500252  val 1295.173801
epoch 78  train 1256.918456  val 1314.647818
epoch 79  train 1261.872865  val 1307.661617
epoch 80  train 1269.646468  val 1320.502975
epoch 81  train 1284.597463  val 1345.589903
epoch 82  train 1254.622877  val 1338.904826
epoch 83  train 1283.185271  val 1302.164998
epoch 84  train 1245.749415  val 1271.945132
epoch 85  train 1237.598380  val 1279.892981
epoch 86  train 1221.943828  val 1268.454319
epoch 87  train 1229.446268  val 1269.208605
epoch 88  train 1244.514077  val 1314.377735
epoch 89  train 1256.959652  val 1301.196393
epoch 90  train 1224.858879  val 1330.632193
epoch 91  train 1223.142298  val 1269.882510
epoch 92  train 1197.161079  val 1238.637510
epoch 93  train 1204.790092  val 1252.943947
epoch 94  train 1198.706962  val 1251.758174
epoch 95  train 1197.788651  val 1233.442500
epoch 96  train 1178.898820  val 1235.623440
epoch 97  train 1187.849132  val 1229.421667
epoch 98  train 1190.373119  val 1253.603877
epoch 99  train 1169.176071  val 1210.486192
epoch 100  train 1153.837814  val 1199.785188
epoch 101  train 1159.206016  val 1233.818359
epoch 102  train 1150.787940  val 1220.644852
epoch 103  train 1150.636226  val 1209.517045
epoch 104  train 1157.138046  val 1243.298326
epoch 105  train 1180.451478  val 1242.475654
epoch 106  train 1174.570727  val 1223.947745
epoch 107  train 1148.378225  val 1207.445760
epoch 108  train 1133.242560  val 1200.121315
epoch 109  train 1142.520476  val 1226.995859
epoch 110  train 1162.391017  val 1231.157254
epoch 111  train 1154.348529  val 1223.788298
epoch 112  train 1148.170457  val 1197.814168
epoch 113  train 1130.665362  val 1196.043760
epoch 114  train 1120.310060  val 1181.637325
epoch 115  train 1121.297308  val 1176.793358
epoch 116  train 1111.228446  val 1169.987282
epoch 117  train 1107.433428  val 1197.082863
epoch 118  train 1141.755287  val 1217.730749
epoch 119  train 1118.621654  val 1175.248458
epoch 120  train 1122.002271  val 1164.009494
epoch 121  train 1107.811502  val 1203.341254
epoch 122  train 1128.950245  val 1205.797318
epoch 123  train 1125.818064  val 1197.002595
epoch 124  train 1109.145571  val 1177.445276
epoch 125  train 1099.061233  val 1166.526087
epoch 126  train 1088.707586  val 1158.913226
epoch 127  train 1086.004655  val 1168.417182
epoch 128  train 1087.640887  val 1165.648117
epoch 129  train 1105.866720  val 1159.576475
epoch 130  train 1086.538315  val 1148.616170
epoch 131  train 1075.414638  val 1146.564164
epoch 132  train 1093.598048  val 1142.254453
epoch 133  train 1072.772346  val 1146.663742
epoch 134  train 1072.609366  val 1140.310710
epoch 135  train 1062.919195  val 1127.386447
epoch 136  train 1055.254214  val 1122.691614
epoch 137  train 1052.377357  val 1132.252274
epoch 138  train 1049.426089  val 1127.527936
epoch 139  train 1061.825263  val 1146.567880
epoch 140  train 1047.503570  val 1109.982345
epoch 141  train 1038.886024  val 1119.216462
epoch 142  train 1036.939337  val 1150.232010
epoch 143  train 1069.034966  val 1146.315479
epoch 144  train 1041.629101  val 1121.767895
epoch 145  train 1033.525662  val 1105.631140
epoch 146  train 1044.899880  val 1109.955815
epoch 147  train 1025.947695  val 1109.779957
epoch 148  train 1017.372887  val 1131.655807
epoch 149  train 1023.339944  val 1123.135231
epoch 150  train 1028.789418  val 1103.651182
epoch 151  train 1012.889787  val 1104.896665
epoch 152  train 1026.251549  val 1109.371153
epoch 153  train 1009.622307  val 1093.115551
epoch 154  train 1010.867522  val 1084.626940
epoch 155  train 1000.248574  val 1110.028628
epoch 156  train 1000.088540  val 1084.867323
epoch 157  train 1002.165062  val 1115.070335
epoch 158  train 996.956644  val 1089.570050
epoch 159  train 1013.626222  val 1088.601843
epoch 160  train 1001.148632  val 1095.080462
epoch 161  train 1005.509124  val 1097.340377
epoch 162  train 996.579860  val 1075.843840
epoch 163  train 998.481610  val 1108.948712
epoch 164  train 1023.832024  val 1155.895973
epoch 165  train 1021.337585  val 1139.833247
epoch 166  train 997.326050  val 1092.009078
epoch 167  train 1002.697647  val 1093.306849
epoch 168  train 998.859037  val 1105.244737
epoch 169  train 979.285456  val 1062.628857
epoch 170  train 976.159315  val 1074.497975
epoch 171  train 980.695184  val 1082.149324
epoch 172  train 998.326913  val 1097.413475
epoch 173  train 981.107693  val 1065.126013
epoch 174  train 983.044284  val 1093.329685
epoch 175  train 978.160931  val 1073.880801
epoch 176  train 971.395530  val 1058.304606
epoch 177  train 971.752618  val 1080.451068
epoch 178  train 976.689223  val 1085.431708
epoch 179  train 996.117531  val 1085.824721
epoch 180  train 982.134259  val 1084.298828
epoch 181  train 975.826977  val 1069.929498
epoch 182  train 952.986702  val 1050.127188
epoch 183  train 959.546008  val 1060.234967
epoch 184  train 976.710811  val 1064.825087
epoch 185  train 966.646157  val 1085.799018
epoch 186  train 987.824803  val 1077.839903
epoch 187  train 964.789346  val 1083.466503
