Loss weights | lam_time=100, lam_self=1, lam_psd=0
cuda
train size: 2592
validation size: 864
epoch 1  train 87.751094  val 105.454680
epoch 2  train 42.547536  val 58.549575
epoch 3  train 30.982752  val 27.624839
epoch 4  train 25.240748  val 25.605389
epoch 5  train 21.892644  val 22.644923
epoch 6  train 19.678176  val 19.994206
epoch 7  train 18.290953  val 18.944016
epoch 8  train 17.149863  val 17.519376
epoch 9  train 15.801086  val 16.840424
epoch 10  train 15.213855  val 15.330296
epoch 11  train 14.407339  val 14.558607
epoch 12  train 13.505767  val 14.146481
epoch 13  train 13.217040  val 13.440628
epoch 14  train 13.110661  val 13.584861
epoch 15  train 12.517325  val 12.781660
epoch 16  train 12.051082  val 12.468614
epoch 17  train 11.487623  val 11.890939
epoch 18  train 11.322363  val 11.651019
epoch 19  train 10.673483  val 11.690221
epoch 20  train 10.465409  val 11.346848
epoch 21  train 10.380379  val 10.984442
epoch 22  train 10.475231  val 10.820737
epoch 23  train 10.289063  val 10.914222
epoch 24  train 9.927566  val 11.037705
epoch 25  train 9.997268  val 10.650827
epoch 26  train 9.899399  val 10.126022
epoch 27  train 9.708905  val 9.927888
epoch 28  train 9.349849  val 10.015631
epoch 29  train 9.511984  val 9.800312
epoch 30  train 9.352217  val 9.645055
epoch 31  train 9.035068  val 9.544998
epoch 32  train 9.027065  val 9.225606
epoch 33  train 8.770534  val 9.212843
epoch 34  train 8.367918  val 9.098975
epoch 35  train 8.383143  val 8.808581
epoch 36  train 8.510344  val 8.863715
epoch 37  train 8.473582  val 9.082411
epoch 38  train 8.260706  val 8.898862
epoch 39  train 8.288926  val 8.612829
epoch 40  train 7.990785  val 8.868976
epoch 41  train 7.935431  val 8.963184
epoch 42  train 8.305016  val 8.727916
epoch 43  train 8.267990  val 8.639379
epoch 44  train 8.052840  val 8.478255
epoch 45  train 7.956403  val 8.399835
epoch 46  train 7.972828  val 8.214886
epoch 47  train 7.699735  val 8.181623
epoch 48  train 7.632699  val 8.232082
epoch 49  train 7.733914  val 8.320573
epoch 50  train 7.858191  val 8.348606
