Loss weights | lam_time=100, lam_self=0, lam_psd=100
cuda
train size: 2592
validation size: 864
epoch 1  train 11706.952468  val 10755.455331
epoch 2  train 4749.256863  val 5876.677517
epoch 3  train 3933.616265  val 3723.932075
epoch 4  train 3668.403646  val 3604.050628
epoch 5  train 3567.251362  val 3507.843660
epoch 6  train 3480.075153  val 3424.477358
epoch 7  train 3381.753490  val 3326.591110
epoch 8  train 3276.435887  val 3237.539515
epoch 9  train 3185.613125  val 3208.388789
epoch 10  train 3123.312774  val 3110.229221
epoch 11  train 3066.214166  val 3046.402660
epoch 12  train 3008.305568  val 2993.455612
epoch 13  train 2931.035455  val 2842.233615
epoch 14  train 2788.767587  val 2747.994973
epoch 15  train 2705.976758  val 2639.975233
epoch 16  train 2651.051779  val 2609.718045
epoch 17  train 2587.743007  val 2562.241365
epoch 18  train 2547.993797  val 2509.023980
epoch 19  train 2482.366033  val 2422.013156
epoch 20  train 2375.506085  val 2315.553385
epoch 21  train 2260.110764  val 2254.440846
epoch 22  train 2203.859863  val 2202.432988
epoch 23  train 2166.643850  val 2177.373418
epoch 24  train 2117.193471  val 2113.139775
epoch 25  train 2068.241880  val 2097.281702
epoch 26  train 2056.241627  val 2073.101517
epoch 27  train 2008.125113  val 2034.181234
epoch 28  train 2024.037480  val 2094.588108
epoch 29  train 2036.735346  val 2043.383961
epoch 30  train 1999.625359  val 2024.021701
epoch 31  train 1967.980764  val 2024.613968
epoch 32  train 1948.452644  val 1961.504747
epoch 33  train 1926.598663  val 1938.167707
epoch 34  train 1897.796290  val 1956.952623
epoch 35  train 1891.366521  val 1906.950801
epoch 36  train 1857.426078  val 1859.863779
epoch 37  train 1811.883406  val 1817.608697
epoch 38  train 1780.243342  val 1821.937292
epoch 39  train 1764.688336  val 1814.803440
epoch 40  train 1738.065787  val 1759.071660
epoch 41  train 1702.265773  val 1739.322867
epoch 42  train 1695.200560  val 1726.097114
epoch 43  train 1665.240705  val 1680.740564
epoch 44  train 1645.647984  val 1677.749494
epoch 45  train 1623.723152  val 1647.140209
epoch 46  train 1600.762930  val 1621.729130
epoch 47  train 1591.945044  val 1651.649618
epoch 48  train 1592.976452  val 1598.461060
epoch 49  train 1559.270790  val 1586.400210
epoch 50  train 1552.703010  val 1583.765630
epoch 51  train 1537.422802  val 1560.965454
epoch 52  train 1537.613099  val 1559.146683
epoch 53  train 1504.615173  val 1530.289230
epoch 54  train 1489.347756  val 1536.481563
epoch 55  train 1467.756441  val 1518.600862
epoch 56  train 1471.836700  val 1520.793068
epoch 57  train 1480.002247  val 1474.704373
epoch 58  train 1434.431683  val 1477.655581
epoch 59  train 1421.273141  val 1456.044049
epoch 60  train 1411.753419  val 1466.939535
epoch 61  train 1412.320169  val 1452.670849
epoch 62  train 1397.074746  val 1437.812107
epoch 63  train 1403.518063  val 1437.605708
epoch 64  train 1388.404467  val 1413.307364
epoch 65  train 1371.886164  val 1406.341535
epoch 66  train 1378.697300  val 1398.100066
epoch 67  train 1362.787892  val 1385.736057
epoch 68  train 1339.139884  val 1371.731766
epoch 69  train 1330.127687  val 1383.927703
epoch 70  train 1334.558372  val 1359.143329
epoch 71  train 1311.138450  val 1354.821777
epoch 72  train 1310.087170  val 1356.848212
epoch 73  train 1305.686129  val 1341.348872
epoch 74  train 1298.374795  val 1331.748761
epoch 75  train 1293.399494  val 1331.362440
epoch 76  train 1282.212036  val 1318.731468
epoch 77  train 1274.820303  val 1305.832203
epoch 78  train 1277.724908  val 1307.576009
epoch 79  train 1260.959720  val 1311.145187
epoch 80  train 1275.494685  val 1313.025219
epoch 81  train 1277.458841  val 1312.145888
epoch 82  train 1250.492307  val 1297.821633
epoch 83  train 1242.565394  val 1297.379476
epoch 84  train 1251.733322  val 1286.300754
epoch 85  train 1236.911389  val 1263.305958
epoch 86  train 1227.087639  val 1275.755385
epoch 87  train 1237.556282  val 1274.738078
epoch 88  train 1229.530249  val 1274.480722
epoch 89  train 1261.291117  val 1284.998454
epoch 90  train 1221.955660  val 1252.349284
epoch 91  train 1201.869490  val 1247.147253
epoch 92  train 1197.105428  val 1248.055325
epoch 93  train 1205.635087  val 1243.559552
epoch 94  train 1220.098591  val 1255.888907
epoch 95  train 1182.903848  val 1231.293263
epoch 96  train 1181.657548  val 1237.851183
epoch 97  train 1198.982244  val 1380.082614
epoch 98  train 1213.097457  val 1264.055560
epoch 99  train 1175.720379  val 1222.673105
epoch 100  train 1183.231772  val 1224.444557
epoch 101  train 1169.903546  val 1221.207529
epoch 102  train 1168.228858  val 1225.573789
epoch 103  train 1186.825617  val 1231.988878
epoch 104  train 1155.710919  val 1195.983855
epoch 105  train 1136.049063  val 1201.467394
epoch 106  train 1132.562110  val 1207.246234
epoch 107  train 1147.224686  val 1214.534085
epoch 108  train 1143.188278  val 1190.231441
epoch 109  train 1133.165934  val 1181.734913
epoch 110  train 1144.243976  val 1189.024934
epoch 111  train 1130.235618  val 1204.515462
epoch 112  train 1138.398441  val 1226.545546
epoch 113  train 1125.117962  val 1196.646498
epoch 114  train 1108.794519  val 1174.678200
epoch 115  train 1108.825030  val 1166.494308
epoch 116  train 1112.093179  val 1182.858046
epoch 117  train 1107.056350  val 1159.189878
epoch 118  train 1096.749467  val 1154.926233
epoch 119  train 1085.584476  val 1146.304574
epoch 120  train 1089.165951  val 1160.988227
epoch 121  train 1107.657474  val 1179.484560
epoch 122  train 1102.404417  val 1183.696868
epoch 123  train 1126.434543  val 1170.035780
epoch 124  train 1112.275894  val 1182.611663
epoch 125  train 1087.545195  val 1140.140648
epoch 126  train 1083.658125  val 1146.937238
epoch 127  train 1073.996505  val 1150.382767
epoch 128  train 1092.002039  val 1161.521602
epoch 129  train 1065.518924  val 1136.231658
epoch 130  train 1061.338894  val 1121.777733
epoch 131  train 1058.718489  val 1130.216937
epoch 132  train 1053.660519  val 1130.580842
epoch 133  train 1057.508005  val 1117.241139
epoch 134  train 1044.023117  val 1124.702393
epoch 135  train 1063.966422  val 1149.557671
epoch 136  train 1060.101537  val 1126.769120
epoch 137  train 1040.672950  val 1128.952546
epoch 138  train 1033.115926  val 1102.408058
epoch 139  train 1033.729358  val 1109.031548
epoch 140  train 1033.407724  val 1118.791178
epoch 141  train 1051.196199  val 1123.089351
epoch 142  train 1044.003445  val 1110.564553
epoch 143  train 1029.745500  val 1102.841390
epoch 144  train 1028.822127  val 1098.630240
epoch 145  train 1024.396350  val 1119.687364
epoch 146  train 1031.059186  val 1117.325887
epoch 147  train 1040.736138  val 1132.697840
epoch 148  train 1022.746290  val 1095.304565
epoch 149  train 1009.557878  val 1095.722638
epoch 150  train 1008.693090  val 1109.255516
epoch 151  train 1021.003297  val 1089.105107
epoch 152  train 1008.985807  val 1106.269038
epoch 153  train 1001.823013  val 1092.308142
epoch 154  train 995.336114  val 1090.641312
epoch 155  train 993.496883  val 1075.357191
epoch 156  train 996.431996  val 1105.649952
epoch 157  train 997.568882  val 1067.641873
epoch 158  train 979.507493  val 1061.572220
epoch 159  train 976.984016  val 1068.744425
epoch 160  train 983.198076  val 1092.096332
epoch 161  train 996.911306  val 1112.672983
epoch 162  train 1020.313469  val 1123.609484
