Loss weights | lam_time=100, lam_self=1, lam_psd=0
cuda
train size: 2592
validation size: 864
epoch 1  train 81.599879  val 105.164134
epoch 2  train 39.228346  val 55.001896
epoch 3  train 30.169388  val 26.959169
epoch 4  train 24.714073  val 23.970520
epoch 5  train 21.950643  val 22.134947
epoch 6  train 19.671135  val 19.945078
epoch 7  train 17.509922  val 18.351370
epoch 8  train 16.021191  val 17.200249
epoch 9  train 15.227420  val 16.833376
epoch 10  train 14.630469  val 16.451224
epoch 11  train 14.407679  val 14.916516
epoch 12  train 13.413679  val 14.047865
epoch 13  train 13.217885  val 15.033615
epoch 14  train 12.487287  val 12.962957
epoch 15  train 12.461686  val 13.720476
epoch 16  train 11.657790  val 12.488307
epoch 17  train 11.539489  val 11.863267
epoch 18  train 11.146283  val 11.811229
epoch 19  train 11.043918  val 11.389183
epoch 20  train 10.646727  val 10.930700
epoch 21  train 10.241959  val 11.914893
epoch 22  train 10.216700  val 10.971040
epoch 23  train 9.978418  val 10.547476
epoch 24  train 9.680404  val 10.168602
epoch 25  train 9.333991  val 10.310185
epoch 26  train 9.678148  val 10.526544
epoch 27  train 9.507318  val 10.751458
epoch 28  train 9.680190  val 10.023539
epoch 29  train 9.420569  val 10.081818
epoch 30  train 9.441077  val 9.681260
epoch 31  train 9.138459  val 9.956926
epoch 32  train 9.044734  val 9.500645
epoch 33  train 8.995066  val 9.693258
epoch 34  train 9.208746  val 9.722565
epoch 35  train 9.027925  val 9.439330
epoch 36  train 8.769183  val 9.379452
epoch 37  train 8.653556  val 9.212538
epoch 38  train 8.867044  val 9.409783
epoch 39  train 8.623779  val 9.099586
epoch 40  train 8.628888  val 9.112600
epoch 41  train 8.600597  val 8.891529
epoch 42  train 8.288091  val 9.034672
epoch 43  train 8.326904  val 8.729377
epoch 44  train 8.093166  val 9.298849
epoch 45  train 8.518820  val 9.131469
epoch 46  train 8.139411  val 8.997958
epoch 47  train 8.100568  val 8.862686
epoch 48  train 8.299353  val 8.643948
epoch 49  train 7.921809  val 9.437994
epoch 50  train 8.172157  val 8.773632
epoch 51  train 7.864859  val 8.407496
epoch 52  train 8.022811  val 8.110151
epoch 53  train 7.423994  val 8.149952
epoch 54  train 7.741276  val 8.207573
epoch 55  train 7.796186  val 8.155020
epoch 56  train 7.678611  val 8.117399
epoch 57  train 7.578343  val 8.367677
epoch 58  train 7.731661  val 7.927327
epoch 59  train 7.565834  val 8.095188
epoch 60  train 7.661825  val 8.070871
epoch 61  train 7.732309  val 8.085697
epoch 62  train 7.517979  val 8.119654
epoch 63  train 7.275700  val 8.107294
epoch 64  train 7.544511  val 8.168693
epoch 65  train 7.410673  val 8.282889
epoch 66  train 7.677949  val 8.260910
epoch 67  train 7.619337  val 8.125238
epoch 68  train 7.381597  val 8.051314
epoch 69  train 7.113663  val 8.032681
epoch 70  train 7.559181  val 7.633588
epoch 71  train 7.172194  val 8.019022
epoch 72  train 7.054386  val 7.784082
epoch 73  train 7.294691  val 7.887396
epoch 74  train 7.090264  val 7.866261
epoch 75  train 7.249878  val 7.861130
epoch 76  train 7.115557  val 7.877337
epoch 77  train 7.172391  val 7.495031
epoch 78  train 7.202692  val 7.430451
epoch 79  train 7.164711  val 8.100991
epoch 80  train 7.281320  val 7.731532
epoch 81  train 7.073820  val 7.688950
epoch 82  train 6.802066  val 7.529010
epoch 83  train 6.964876  val 7.568222
epoch 84  train 6.670775  val 7.352367
epoch 85  train 6.797965  val 7.375002
epoch 86  train 6.920895  val 7.498742
epoch 87  train 7.032332  val 7.341659
epoch 88  train 7.083491  val 7.554674
epoch 89  train 6.878105  val 7.577008
epoch 90  train 6.568777  val 7.532510
epoch 91  train 6.794889  val 7.290307
epoch 92  train 6.681984  val 7.329736
epoch 93  train 6.809393  val 7.354667
epoch 94  train 6.479329  val 7.068688
epoch 95  train 6.578842  val 7.067927
epoch 96  train 6.635358  val 7.037051
epoch 97  train 6.368225  val 7.616322
epoch 98  train 6.727405  val 7.713107
epoch 99  train 6.516899  val 7.443191
epoch 100  train 6.730918  val 7.071074
epoch 101  train 6.463781  val 7.180039
epoch 102  train 6.638580  val 7.000050
epoch 103  train 6.651978  val 7.006552
epoch 104  train 6.479020  val 7.326720
epoch 105  train 6.721430  val 7.055757
epoch 106  train 6.334995  val 7.060017
