Loss weights | lam_time=100, lam_self=0, lam_psd=0
cuda
train size: 2592
validation size: 864
epoch 1  train 79.329498  val 96.950977
epoch 2  train 36.679978  val 51.581908
epoch 3  train 26.193400  val 22.851161
epoch 4  train 20.549927  val 19.354374
epoch 5  train 17.068555  val 17.018212
epoch 6  train 14.927135  val 15.451574
epoch 7  train 13.494986  val 13.934947
epoch 8  train 12.367316  val 12.510012
epoch 9  train 11.455304  val 11.490342
epoch 10  train 10.637230  val 10.735734
epoch 11  train 10.139003  val 13.054522
epoch 12  train 10.151449  val 10.243413
epoch 13  train 9.446458  val 9.591085
epoch 14  train 8.883340  val 9.219519
epoch 15  train 8.613230  val 8.696223
epoch 16  train 8.110006  val 8.099660
epoch 17  train 7.813055  val 8.194853
epoch 18  train 7.566638  val 7.743414
epoch 19  train 7.364353  val 7.506428
epoch 20  train 7.206464  val 7.519707
epoch 21  train 7.202598  val 7.504183
epoch 22  train 6.912864  val 7.028151
epoch 23  train 6.686719  val 6.820634
epoch 24  train 6.561207  val 6.827309
epoch 25  train 6.502789  val 6.594075
epoch 26  train 6.367316  val 6.609319
epoch 27  train 6.345440  val 6.630705
epoch 28  train 6.301136  val 6.297098
epoch 29  train 6.080669  val 6.461187
epoch 30  train 6.167860  val 6.361453
epoch 31  train 5.996488  val 6.816026
epoch 32  train 5.998983  val 6.008197
epoch 33  train 5.859825  val 6.137490
epoch 34  train 5.764691  val 5.781574
epoch 35  train 5.628672  val 6.147490
epoch 36  train 5.812488  val 5.951201
epoch 37  train 5.638655  val 5.578558
epoch 38  train 5.330122  val 5.558883
epoch 39  train 5.306988  val 5.623873
epoch 40  train 5.228309  val 5.431132
epoch 41  train 5.214997  val 5.459709
epoch 42  train 5.128818  val 6.040540
epoch 43  train 5.305993  val 5.316374
epoch 44  train 5.042386  val 5.137094
epoch 45  train 4.963354  val 5.128517
epoch 46  train 4.885923  val 5.066763
epoch 47  train 4.807931  val 4.939954
epoch 48  train 4.789500  val 5.101100
epoch 49  train 4.780724  val 4.802237
epoch 50  train 4.712263  val 4.807747
epoch 51  train 4.629396  val 4.833027
epoch 52  train 4.622157  val 4.855389
epoch 53  train 4.621054  val 4.716579
epoch 54  train 4.526553  val 4.632587
epoch 55  train 4.567320  val 4.596904
epoch 56  train 4.499312  val 4.700189
epoch 57  train 4.485238  val 4.616086
epoch 58  train 4.452895  val 4.621573
epoch 59  train 4.365042  val 4.526475
epoch 60  train 4.279762  val 4.647524
epoch 61  train 4.353036  val 4.362062
epoch 62  train 4.258771  val 4.590743
epoch 63  train 4.278398  val 4.402659
epoch 64  train 4.170064  val 4.196290
epoch 65  train 4.074707  val 4.388060
epoch 66  train 4.143079  val 4.295142
epoch 67  train 4.249609  val 4.449057
epoch 68  train 4.149632  val 4.181066
epoch 69  train 4.025619  val 4.382563
epoch 70  train 4.032957  val 4.097713
epoch 71  train 3.966575  val 4.037535
epoch 72  train 3.925963  val 4.353574
epoch 73  train 4.050443  val 4.157782
epoch 74  train 4.006207  val 4.068546
epoch 75  train 3.855785  val 4.031084
epoch 76  train 3.857138  val 4.166246
epoch 77  train 3.857909  val 3.966917
epoch 78  train 3.807528  val 3.965380
epoch 79  train 3.886891  val 3.993901
epoch 80  train 3.759100  val 4.092948
epoch 81  train 3.773433  val 3.861295
epoch 82  train 3.750441  val 3.843379
epoch 83  train 3.644826  val 3.755785
epoch 84  train 3.623622  val 3.737646
epoch 85  train 3.570939  val 3.661736
epoch 86  train 3.493521  val 3.710097
epoch 87  train 3.536630  val 3.764504
epoch 88  train 3.544872  val 3.751007
epoch 89  train 3.569382  val 3.733404
epoch 90  train 3.478562  val 3.626940
epoch 91  train 3.460044  val 3.506364
epoch 92  train 3.367129  val 3.454933
epoch 93  train 3.325898  val 3.674916
epoch 94  train 3.437424  val 3.389819
epoch 95  train 3.294209  val 3.466666
epoch 96  train 3.301927  val 3.400413
epoch 97  train 3.228681  val 3.526173
epoch 98  train 3.257720  val 3.332819
epoch 99  train 3.159624  val 3.289149
epoch 100  train 3.163069  val 3.390365
epoch 101  train 3.164177  val 3.673291
epoch 102  train 3.257262  val 3.392460
epoch 103  train 3.191926  val 3.369422
epoch 104  train 3.146714  val 3.252163
epoch 105  train 3.098062  val 3.269714
epoch 106  train 3.046063  val 3.056987
epoch 107  train 2.965067  val 3.089016
epoch 108  train 2.986921  val 3.140648
epoch 109  train 3.003261  val 3.138000
epoch 110  train 2.944820  val 3.251689
epoch 111  train 3.062528  val 3.132171
epoch 112  train 2.963109  val 3.074498
epoch 113  train 2.927332  val 2.976584
epoch 114  train 2.864291  val 3.011060
epoch 115  train 2.792026  val 2.957116
epoch 116  train 2.793115  val 2.960489
epoch 117  train 2.814145  val 3.194703
epoch 118  train 2.857080  val 2.932024
epoch 119  train 2.748770  val 2.882626
epoch 120  train 2.773843  val 2.813491
epoch 121  train 2.686920  val 2.789761
epoch 122  train 2.669584  val 2.793580
epoch 123  train 2.669692  val 2.924588
epoch 124  train 2.696762  val 2.746695
epoch 125  train 2.656708  val 2.889195
epoch 126  train 2.693582  val 2.736811
epoch 127  train 2.600999  val 2.872547
epoch 128  train 2.605253  val 2.804584
epoch 129  train 2.627377  val 2.732387
epoch 130  train 2.591733  val 2.766653
epoch 131  train 2.555789  val 2.575344
epoch 132  train 2.496039  val 2.570386
epoch 133  train 2.519808  val 2.580635
epoch 134  train 2.462743  val 2.611705
epoch 135  train 2.468649  val 2.591596
epoch 136  train 2.437569  val 2.669242
epoch 137  train 2.537679  val 2.963749
epoch 138  train 2.625207  val 2.991879
epoch 139  train 2.588474  val 2.764532
epoch 140  train 2.529053  val 2.660703
epoch 141  train 2.467740  val 2.628943
epoch 142  train 2.501425  val 2.658599
epoch 143  train 2.507181  val 2.616687
epoch 144  train 2.448808  val 2.623755
epoch 145  train 2.504920  val 2.723016
epoch 146  train 2.463663  val 2.672345
epoch 147  train 2.413637  val 2.519383
epoch 148  train 2.360025  val 2.475108
epoch 149  train 2.351004  val 2.469935
epoch 150  train 2.340955  val 2.374867
epoch 151  train 2.297110  val 2.434459
epoch 152  train 2.296990  val 2.519397
epoch 153  train 2.297079  val 2.395133
epoch 154  train 2.257301  val 2.403046
epoch 155  train 2.245694  val 2.478324
epoch 156  train 2.302460  val 2.498258
epoch 157  train 2.330962  val 2.549530
epoch 158  train 2.320266  val 2.383289
epoch 159  train 2.288931  val 2.365790
epoch 160  train 2.233798  val 2.374639
epoch 161  train 2.212884  val 2.353217
epoch 162  train 2.231947  val 2.261184
epoch 163  train 2.177132  val 2.272929
epoch 164  train 2.174879  val 2.340428
epoch 165  train 2.207815  val 2.315208
epoch 166  train 2.166585  val 2.246664
epoch 167  train 2.131003  val 2.370154
epoch 168  train 2.166054  val 2.368517
epoch 169  train 2.177239  val 2.229376
epoch 170  train 2.116589  val 2.184780
epoch 171  train 2.124161  val 2.263143
epoch 172  train 2.141683  val 2.254027
epoch 173  train 2.102390  val 2.293454
epoch 174  train 2.117640  val 2.322936
epoch 175  train 2.107873  val 2.232911
epoch 176  train 2.088120  val 2.241286
epoch 177  train 2.053064  val 2.226631
epoch 178  train 2.099574  val 2.252777
epoch 179  train 2.111347  val 2.250586
epoch 180  train 2.117437  val 2.310788
epoch 181  train 2.094576  val 2.296234
epoch 182  train 2.113263  val 2.160497
epoch 183  train 2.011289  val 2.343719
epoch 184  train 2.113467  val 2.119027
epoch 185  train 1.987823  val 2.208751
epoch 186  train 2.021907  val 2.183725
epoch 187  train 2.049344  val 2.189108
epoch 188  train 1.998164  val 2.040948
epoch 189  train 1.961696  val 2.132394
epoch 190  train 2.021548  val 2.110442
epoch 191  train 1.969981  val 2.244212
epoch 192  train 2.048102  val 2.189788
epoch 193  train 2.069697  val 2.248139
epoch 194  train 2.007460  val 2.199336
epoch 195  train 1.989852  val 2.232240
epoch 196  train 1.988868  val 2.049869
epoch 197  train 1.919235  val 2.127362
epoch 198  train 2.006497  val 2.033604
epoch 199  train 1.945099  val 2.061874
epoch 200  train 1.931153  val 2.154529
epoch 201  train 1.939572  val 1.972965
epoch 202  train 1.861014  val 2.047449
epoch 203  train 1.894060  val 1.973816
epoch 204  train 1.872888  val 1.999565
epoch 205  train 1.861686  val 2.143718
epoch 206  train 1.987822  val 1.994081
epoch 207  train 1.959498  val 2.059176
epoch 208  train 1.889468  val 1.986081
epoch 209  train 1.866381  val 2.005003
epoch 210  train 1.863192  val 2.167578
epoch 211  train 1.906840  val 1.894600
epoch 212  train 1.853263  val 1.999658
epoch 213  train 1.857356  val 1.966201
epoch 214  train 1.847700  val 2.051407
epoch 215  train 1.860386  val 1.928997
epoch 216  train 1.804750  val 1.967935
epoch 217  train 1.838272  val 2.055177
epoch 218  train 1.866785  val 1.948799
epoch 219  train 1.800827  val 1.963312
epoch 220  train 1.792698  val 1.993813
epoch 221  train 1.785968  val 1.898046
epoch 222  train 1.770927  val 2.017201
epoch 223  train 1.805933  val 2.223175
epoch 224  train 1.872887  val 1.860312
epoch 225  train 1.762643  val 1.941201
epoch 226  train 1.782908  val 1.879402
epoch 227  train 1.740189  val 2.026716
epoch 228  train 1.808127  val 1.933807
epoch 229  train 1.798116  val 1.973691
epoch 230  train 1.773601  val 2.014783
epoch 231  train 1.798227  val 1.846332
epoch 232  train 1.707306  val 1.842411
epoch 233  train 1.710689  val 1.821659
epoch 234  train 1.689838  val 1.997166
epoch 235  train 1.805840  val 1.927873
epoch 236  train 1.738639  val 1.837727
epoch 237  train 1.699369  val 2.090095
epoch 238  train 1.764583  val 1.758863
epoch 239  train 1.691044  val 1.918947
epoch 240  train 1.728114  val 1.845574
epoch 241  train 1.722586  val 1.850641
epoch 242  train 1.707221  val 2.023508
epoch 243  train 1.758280  val 1.928018
epoch 244  train 1.683852  val 1.828762
epoch 245  train 1.676163  val 1.832985
epoch 246  train 1.663843  val 1.750858
epoch 247  train 1.609629  val 1.897891
epoch 248  train 1.677557  val 1.772472
epoch 249  train 1.614410  val 1.894983
epoch 250  train 1.704555  val 1.797911
epoch 251  train 1.614595  val 1.765762
epoch 252  train 1.624490  val 1.715888
epoch 253  train 1.605846  val 1.658443
epoch 254  train 1.574432  val 1.703228
epoch 255  train 1.600088  val 1.699007
epoch 256  train 1.629240  val 1.687468
epoch 257  train 1.586584  val 1.744427
epoch 258  train 1.575422  val 1.848373
epoch 259  train 1.588433  val 1.642147
epoch 260  train 1.536980  val 1.654198
epoch 261  train 1.537252  val 1.615546
epoch 262  train 1.507195  val 1.676219
epoch 263  train 1.546997  val 1.677083
epoch 264  train 1.522241  val 1.647458
epoch 265  train 1.507763  val 1.651978
epoch 266  train 1.503529  val 1.713539
epoch 267  train 1.565941  val 1.701888
epoch 268  train 1.547565  val 1.681378
epoch 269  train 1.528338  val 1.846173
epoch 270  train 1.562972  val 1.695373
epoch 271  train 1.550092  val 1.579850
epoch 272  train 1.507383  val 1.705018
epoch 273  train 1.477562  val 1.658241
epoch 274  train 1.526062  val 1.663006
epoch 275  train 1.570807  val 1.638566
epoch 276  train 1.514088  val 1.523349
epoch 277  train 1.433649  val 1.583423
epoch 278  train 1.438284  val 1.581065
epoch 279  train 1.464615  val 1.482836
epoch 280  train 1.424068  val 1.578871
epoch 281  train 1.469915  val 1.534521
epoch 282  train 1.392726  val 1.646673
epoch 283  train 1.468953  val 1.599134
epoch 284  train 1.443967  val 1.611576
epoch 285  train 1.566642  val 1.638754
epoch 286  train 1.501403  val 1.747033
epoch 287  train 1.500462  val 1.784575
epoch 288  train 1.492064  val 1.484728
epoch 289  train 1.422647  val 1.480842
epoch 290  train 1.386876  val 1.610071
epoch 291  train 1.404435  val 1.533735
epoch 292  train 1.383009  val 1.647922
epoch 293  train 1.440792  val 1.533586
epoch 294  train 1.386238  val 1.705743
epoch 295  train 1.369471  val 1.523173
epoch 296  train 1.355660  val 1.648479
epoch 297  train 1.395793  val 1.557688
epoch 298  train 1.352320  val 1.503470
epoch 299  train 1.341028  val 1.462085
epoch 300  train 1.352937  val 1.422648
