Loss weights | lam_time=100, lam_self=0, lam_psd=0
cuda
train size: 2592
validation size: 864
epoch 1  train 81.497055  val 96.707592
epoch 2  train 36.642224  val 49.933352
epoch 3  train 26.222349  val 23.332132
epoch 4  train 21.059273  val 20.256799
epoch 5  train 17.878476  val 19.311431
epoch 6  train 15.825289  val 15.744099
epoch 7  train 14.174563  val 14.417515
epoch 8  train 13.033960  val 12.732192
epoch 9  train 11.920707  val 12.001445
epoch 10  train 11.052305  val 10.946682
epoch 11  train 10.272954  val 10.225196
epoch 12  train 9.661093  val 10.126131
epoch 13  train 9.138380  val 9.233593
epoch 14  train 8.695025  val 8.979183
epoch 15  train 8.343294  val 8.973495
epoch 16  train 8.018439  val 8.488329
epoch 17  train 7.711931  val 7.819442
epoch 18  train 7.430226  val 7.773033
epoch 19  train 7.232206  val 7.417683
epoch 20  train 7.050112  val 7.671742
epoch 21  train 7.054422  val 7.190957
epoch 22  train 7.001776  val 7.165893
epoch 23  train 6.812558  val 6.990894
epoch 24  train 6.845126  val 7.221900
epoch 25  train 6.692655  val 6.707623
epoch 26  train 6.462857  val 6.758939
epoch 27  train 6.306889  val 6.563780
epoch 28  train 6.159581  val 6.501487
epoch 29  train 6.106884  val 6.221099
epoch 30  train 5.970294  val 6.134759
epoch 31  train 5.955987  val 6.140386
epoch 32  train 5.864885  val 6.437372
epoch 33  train 5.933992  val 5.973082
epoch 34  train 5.687437  val 5.951400
epoch 35  train 5.687692  val 5.823143
epoch 36  train 5.474328  val 5.997996
epoch 37  train 5.504158  val 5.704487
epoch 38  train 5.346793  val 5.417057
epoch 39  train 5.237252  val 5.398224
epoch 40  train 5.215318  val 5.428906
epoch 41  train 5.105623  val 5.203199
epoch 42  train 5.005022  val 5.200857
epoch 43  train 5.049186  val 5.261366
epoch 44  train 5.020308  val 5.218270
epoch 45  train 4.943267  val 5.277584
epoch 46  train 4.966839  val 5.181800
epoch 47  train 5.027359  val 5.096560
epoch 48  train 4.880593  val 5.044915
epoch 49  train 4.799660  val 5.000607
epoch 50  train 4.775864  val 5.059290
epoch 51  train 4.789665  val 4.986238
epoch 52  train 4.686596  val 4.757151
epoch 53  train 4.616428  val 4.888809
epoch 54  train 4.556165  val 4.760994
epoch 55  train 4.561164  val 4.901196
epoch 56  train 4.529087  val 4.540168
epoch 57  train 4.465521  val 4.735950
epoch 58  train 4.482595  val 4.658490
epoch 59  train 4.463143  val 4.479077
epoch 60  train 4.372771  val 4.500136
epoch 61  train 4.406345  val 4.573768
epoch 62  train 4.378309  val 4.741015
epoch 63  train 4.372024  val 4.472336
epoch 64  train 4.343883  val 4.516939
epoch 65  train 4.362958  val 4.606959
epoch 66  train 4.316854  val 4.680624
epoch 67  train 4.298170  val 4.304456
epoch 68  train 4.113804  val 4.270567
epoch 69  train 4.070174  val 4.218841
epoch 70  train 4.089508  val 4.169468
epoch 71  train 4.094430  val 4.298554
epoch 72  train 4.088097  val 4.462777
epoch 73  train 4.116905  val 4.247949
epoch 74  train 4.063409  val 4.569979
epoch 75  train 4.113342  val 4.223068
epoch 76  train 3.999696  val 4.332739
epoch 77  train 4.100069  val 4.232638
