Loss weights | lam_time=100, lam_self=1, lam_psd=100
cuda
train size: 2592
validation size: 864
epoch 1  train 11751.095317  val 12084.584274
epoch 2  train 4752.510145  val 7715.262080
epoch 3  train 3926.928422  val 3907.346978
epoch 4  train 3684.578261  val 3637.928621
epoch 5  train 3565.036009  val 3516.797924
epoch 6  train 3452.190571  val 3375.024712
epoch 7  train 3296.253183  val 3221.063359
epoch 8  train 3163.822474  val 3104.362585
epoch 9  train 3053.826853  val 3015.949174
epoch 10  train 2919.149803  val 3051.864050
epoch 11  train 2802.722478  val 2767.289207
epoch 12  train 2719.192919  val 2747.263509
epoch 13  train 2717.675609  val 2757.842168
epoch 14  train 2649.900104  val 2642.828894
epoch 15  train 2599.164792  val 2574.396204
epoch 16  train 2520.085100  val 2554.728470
epoch 17  train 2434.789623  val 2404.567247
epoch 18  train 2319.172990  val 2314.766602
epoch 19  train 2218.110454  val 2208.812473
epoch 20  train 2151.481148  val 2169.311731
epoch 21  train 2090.567371  val 2135.086878
epoch 22  train 2074.281300  val 2114.063241
epoch 23  train 2082.094217  val 2145.100713
epoch 24  train 2080.897526  val 2098.558576
epoch 25  train 2047.651388  val 2090.418122
epoch 26  train 2027.673361  val 2084.851834
epoch 27  train 2011.808497  val 2049.970866
epoch 28  train 1999.472156  val 2020.640598
epoch 29  train 1977.285929  val 2027.556627
epoch 30  train 1979.740861  val 2004.812441
epoch 31  train 1960.795003  val 1985.281774
epoch 32  train 1938.947065  val 1984.678901
epoch 33  train 1924.900879  val 1957.032123
epoch 34  train 1911.460335  val 1934.069924
epoch 35  train 1881.344812  val 1916.066289
epoch 36  train 1859.120402  val 1887.985709
epoch 37  train 1826.405763  val 1851.815091
epoch 38  train 1779.373693  val 1794.312862
epoch 39  train 1740.226798  val 1775.382103
epoch 40  train 1716.794544  val 1760.467954
epoch 41  train 1679.310423  val 1752.119914
epoch 42  train 1660.163871  val 1701.390869
epoch 43  train 1649.985385  val 1705.084812
epoch 44  train 1644.476282  val 1678.581376
epoch 45  train 1604.173662  val 1644.686035
epoch 46  train 1594.171732  val 1658.101956
epoch 47  train 1598.314727  val 1629.834938
epoch 48  train 1581.653118  val 1617.901774
epoch 49  train 1575.484637  val 1630.006085
epoch 50  train 1544.362394  val 1585.313802
epoch 51  train 1554.425288  val 1593.615221
epoch 52  train 1549.559386  val 1586.299655
epoch 53  train 1524.693454  val 1584.529482
epoch 54  train 1528.796048  val 1644.151150
epoch 55  train 1551.854772  val 1558.788981
epoch 56  train 1496.024174  val 1539.455603
epoch 57  train 1485.866145  val 1531.492861
epoch 58  train 1492.923813  val 1536.712136
epoch 59  train 1468.508745  val 1578.693445
epoch 60  train 1504.218149  val 1569.722647
epoch 61  train 1471.630151  val 1507.441135
epoch 62  train 1464.016265  val 1502.008115
epoch 63  train 1469.334125  val 1498.365257
epoch 64  train 1442.869740  val 1495.498332
epoch 65  train 1427.807928  val 1483.765892
epoch 66  train 1410.101006  val 1462.034003
epoch 67  train 1414.037768  val 1454.502916
epoch 68  train 1383.794669  val 1450.395458
epoch 69  train 1361.347028  val 1419.244502
epoch 70  train 1356.175692  val 1401.760760
epoch 71  train 1354.948072  val 1427.984443
epoch 72  train 1346.272455  val 1427.249417
epoch 73  train 1361.815879  val 1412.516728
epoch 74  train 1367.055388  val 1408.228344
epoch 75  train 1371.070163  val 1403.584337
epoch 76  train 1319.207215  val 1391.443341
epoch 77  train 1305.889962  val 1395.552820
epoch 78  train 1330.603054  val 1464.443897
epoch 79  train 1320.910028  val 1373.405667
epoch 80  train 1305.459250  val 1355.191271
epoch 81  train 1327.836974  val 1366.755954
epoch 82  train 1304.752802  val 1400.360116
epoch 83  train 1313.954169  val 1462.205336
epoch 84  train 1306.211197  val 1384.119159
epoch 85  train 1287.980793  val 1331.517284
epoch 86  train 1295.172056  val 1487.880068
epoch 87  train 1350.815891  val 1385.525856
epoch 88  train 1287.761374  val 1307.700236
epoch 89  train 1258.487048  val 1324.916459
epoch 90  train 1263.675471  val 1330.055958
epoch 91  train 1272.248430  val 1327.645101
epoch 92  train 1257.243031  val 1363.211155
epoch 93  train 1296.990893  val 1323.633387
epoch 94  train 1251.029867  val 1356.935429
epoch 95  train 1254.417486  val 1268.433259
epoch 96  train 1234.895095  val 1313.161743
epoch 97  train 1214.871532  val 1280.904582
epoch 98  train 1209.600714  val 1254.346142
epoch 99  train 1207.266804  val 1259.187179
epoch 100  train 1204.037705  val 1272.742255
epoch 101  train 1230.054894  val 1317.122323
epoch 102  train 1243.358521  val 1295.079414
epoch 103  train 1206.491949  val 1268.208035
epoch 104  train 1195.152057  val 1287.013215
epoch 105  train 1201.884571  val 1270.159984
epoch 106  train 1201.563514  val 1240.963415
epoch 107  train 1177.739950  val 1325.284645
epoch 108  train 1214.560098  val 1247.763590
epoch 109  train 1183.740730  val 1252.799927
epoch 110  train 1167.949317  val 1239.115212
epoch 111  train 1167.374864  val 1243.375827
epoch 112  train 1175.150650  val 1268.503332
epoch 113  train 1169.343818  val 1222.746582
epoch 114  train 1163.783679  val 1250.214450
epoch 115  train 1149.482821  val 1217.405599
epoch 116  train 1160.119567  val 1232.358190
epoch 117  train 1161.048994  val 1256.232576
epoch 118  train 1181.077109  val 1260.128640
epoch 119  train 1183.087312  val 1405.128187
epoch 120  train 1203.958116  val 1289.246953
epoch 121  train 1211.397792  val 1323.399260
epoch 122  train 1174.498763  val 1238.299637
epoch 123  train 1152.128751  val 1222.523786
epoch 124  train 1145.999191  val 1213.381492
epoch 125  train 1144.962396  val 1202.021900
epoch 126  train 1141.616597  val 1223.473768
epoch 127  train 1155.290842  val 1210.184964
epoch 128  train 1165.167895  val 1245.748933
epoch 129  train 1166.993123  val 1216.092217
epoch 130  train 1130.009639  val 1213.957131
epoch 131  train 1124.178797  val 1190.972340
epoch 132  train 1130.876441  val 1184.405590
epoch 133  train 1120.768947  val 1181.388184
epoch 134  train 1099.012340  val 1169.510584
epoch 135  train 1101.151525  val 1230.201362
epoch 136  train 1111.186383  val 1180.175998
epoch 137  train 1096.464538  val 1176.611052
epoch 138  train 1090.734500  val 1196.641778
epoch 139  train 1101.309248  val 1178.926518
epoch 140  train 1101.584391  val 1196.736966
epoch 141  train 1118.860214  val 1213.425641
epoch 142  train 1094.237457  val 1159.547223
epoch 143  train 1080.729221  val 1173.140892
epoch 144  train 1091.771283  val 1185.263496
epoch 145  train 1079.475716  val 1177.840291
epoch 146  train 1081.192142  val 1180.354650
epoch 147  train 1076.683060  val 1162.248467
epoch 148  train 1076.122207  val 1142.071452
epoch 149  train 1068.927796  val 1224.569169
epoch 150  train 1097.235716  val 1177.149957
epoch 151  train 1075.076758  val 1155.873286
epoch 152  train 1072.313825  val 1184.352783
epoch 153  train 1058.790104  val 1153.236224
epoch 154  train 1065.150110  val 1168.909234
epoch 155  train 1102.509751  val 1212.324576
epoch 156  train 1080.360896  val 1152.018632
epoch 157  train 1085.386083  val 1147.303001
epoch 158  train 1053.538112  val 1144.594062
epoch 159  train 1040.566486  val 1133.242382
epoch 160  train 1044.686826  val 1132.936334
epoch 161  train 1050.625773  val 1128.141394
epoch 162  train 1038.085701  val 1134.373630
epoch 163  train 1052.390128  val 1158.484257
epoch 164  train 1048.126037  val 1176.437830
epoch 165  train 1071.916340  val 1136.450774
epoch 166  train 1049.392131  val 1125.060583
epoch 167  train 1059.148225  val 1140.703170
epoch 168  train 1047.414961  val 1132.959455
epoch 169  train 1036.053357  val 1149.116378
epoch 170  train 1037.756798  val 1125.239430
epoch 171  train 1019.306468  val 1112.926631
epoch 172  train 1022.203154  val 1122.444431
epoch 173  train 1024.889594  val 1147.066036
epoch 174  train 1009.306902  val 1109.074635
epoch 175  train 1008.865533  val 1115.835201
epoch 176  train 1008.422511  val 1102.808951
epoch 177  train 1011.490528  val 1125.826294
epoch 178  train 1029.757318  val 1100.937441
epoch 179  train 1012.217294  val 1119.473976
epoch 180  train 1006.454340  val 1099.575905
epoch 181  train 1003.980187  val 1113.011249
epoch 182  train 1013.189631  val 1108.986030
epoch 183  train 1014.778076  val 1096.763907
epoch 184  train 1010.122590  val 1098.664714
epoch 185  train 996.784638  val 1102.104990
epoch 186  train 987.294317  val 1125.286079
epoch 187  train 990.777100  val 1102.247712
epoch 188  train 989.273847  val 1096.509160
epoch 189  train 985.117356  val 1082.374055
epoch 190  train 973.214138  val 1087.240004
epoch 191  train 979.921643  val 1094.534908
epoch 192  train 986.866020  val 1077.891900
epoch 193  train 993.936162  val 1144.917535
epoch 194  train 1011.070101  val 1112.900924
epoch 195  train 995.082851  val 1105.745615
epoch 196  train 978.153714  val 1095.098728
epoch 197  train 996.021371  val 1106.881149
epoch 198  train 990.266807  val 1092.674511
